it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,17,17,5.415547863400166,0.019404019404019403,0.0
2,17,16,5.145059427719695,0.019311619311619312,0.0
3,17,17,4.888461426643322,0.01613576297120601,0.0
4,17,16,4.644327312800712,0.0162578966926793,0.0
5,17,17,4.412765917470276,0.019184652278177457,0.0
6,17,17,4.192782363635865,0.018515997277059226,0.0
7,17,17,3.9837982157636813,0.019896314978282193,0.0
8,17,16,3.784897262465036,0.01807171917873025,0.0
9,17,16,3.5959413568313163,0.019637954302201128,0.0
10,17,16,3.4164332464792886,0.016602102933038185,0.0
11,17,16,3.2459005416448625,0.016844469399213923,0.0
12,17,15,3.083774073098185,0.014827407092600463,0.0
13,17,15,2.929753927978838,0.01712538226299694,0.0
14,17,16,2.783555189069436,0.01939160003676133,0.0
15,17,17,2.6450323999255763,0.01721743960011108,0.0
16,17,17,2.5134357502389175,0.01803843792794069,0.0
17,17,17,2.388418933036591,0.01733997417450655,0.0
18,17,16,2.2692869438743175,0.018838304552590265,0.0
19,17,16,2.1561115541701166,0.019580419580419582,0.0
20,17,16,2.048594933951152,0.015384615384615385,0.0
21,17,16,1.946454144743132,0.017982017982017984,0.0
22,17,16,1.8494203949955104,0.0167727009832273,0.0
23,17,15,1.7571179337812997,0.020159791898922332,0.0
24,17,16,1.6695509945817724,0.016287402857275816,0.0
25,17,16,1.5863624023422207,0.017374246882443604,0.0
26,17,17,1.5076992525347255,0.018732322529790884,0.0
27,17,16,1.432603247397528,0.016908212560386472,0.0
28,17,16,1.36126204251719,0.017277823729436634,0.0
29,17,16,1.293487897880866,0.017435897435897435,0.0
30,17,17,1.2294684732964418,0.016398881463576473,0.0
31,17,17,1.168650019941237,0.01736825266237031,0.0
32,17,17,1.1108724892537947,0.01718494271685761,0.0
33,17,16,1.0556178222806403,0.01650670005100385,0.0
34,17,16,1.0031258886561452,0.015685169531323376,0.0
35,17,16,0.9532585517128754,0.01612525195706183,0.0
36,17,16,0.9058845816167711,0.01736825266237031,0.0
37,17,16,0.8608793100254674,0.019161344071091362,0.0
38,17,17,0.8184903148338115,0.015772159884637916,0.0
39,17,16,0.7778547565816597,0.02079254079254079,0.0
40,17,16,0.7392509762421132,0.01840175610667414,0.0
41,17,15,0.7024569859655713,0.016354816354816355,0.0
42,17,16,0.6676230941568296,0.018175916910094125,0.0
43,17,15,0.6344104979845522,0.018622496724686504,0.0
44,17,15,0.6028585316208883,0.018148820326678767,0.0
45,17,17,0.5733705753494622,0.018763947715990346,0.0
46,17,15,0.544870605117552,0.020103308669551862,0.0
47,17,16,0.5179160323512118,0.017031969845036996,0.0
48,17,16,0.49230918822318775,0.016282987085906794,0.0
49,17,16,0.467982686301567,0.017250269535461493,0.0
50,18,18,0.44532039358480824,0.014957264957264958,0.0
51,18,16,0.4232470122319256,0.01835454713152555,0.0
52,18,16,0.4022772999466879,0.015786278081360048,0.0
53,18,16,0.3823560732757112,0.01778987973678239,0.0
54,18,16,0.36343090793828453,0.016591251885369532,0.0
55,18,16,0.3454520008677284,0.019866019866019866,0.0
56,18,16,0.32837203915070023,0.020103308669551862,0.0
57,18,17,0.312280922347974,0.01668997668997669,0.0
58,18,16,0.29685951455693355,0.01761109590291085,0.0
59,18,17,0.28234402398389513,0.01812152631824763,0.0
60,18,16,0.26841946111105947,0.019103259609588724,0.0
61,18,18,0.25573532965382645,0.018446781036709093,0.0
62,18,15,0.2430749820728077,0.016095826314804416,0.0
63,18,16,0.23111387129552544,0.018288760224244097,0.0
64,18,16,0.21975081605710753,0.01743777246519477,0.0
65,18,16,0.2089559135806101,0.01715550636413946,0.0
66,18,16,0.19870075622793762,0.018023039762170196,0.0
67,18,16,0.18895835674289915,0.01875942684766214,0.0
68,18,16,0.17970307723211248,0.017492979791004927,0.0
69,18,16,0.17091056169686492,0.01813288001133305,0.0
70,18,16,0.16255767193838014,0.018562790043594433,0.0
71,18,16,0.15462242666781933,0.01873067830514639,0.0
72,18,16,0.14708394366078636,0.018554778554778554,0.0
73,18,16,0.13992238480410527,0.015713949658903787,0.0
74,18,16,0.1331189038902583,0.018554778554778554,0.0
75,18,16,0.12665559702210366,0.01590866554370204,0.0
76,18,16,0.1205154554973567,0.01973805570927873,0.0
77,18,17,0.11481716787729777,0.01764543700027571,0.0
78,18,16,0.10926894780979135,0.01565934065934066,0.0
79,18,16,0.10486473721610598,0.017186919360832404,0.0
80,18,15,0.10451894159663476,0.017251131221719458,0.0
81,18,16,0.10425927815333015,0.01721811159197729,0.0
82,18,16,0.10402687941500238,0.017869607706268324,0.0
83,18,16,0.10381607213837385,0.017465626161278336,0.0
84,18,16,0.10363357781873524,0.01608477623237771,0.0
85,18,16,0.10346610693092893,0.01805574945320862,0.0
86,18,17,0.10345220793481963,0.018639417163402405,0.0
87,18,17,0.10344368689072124,0.020202020202020204,0.0
88,18,16,0.10330974282080066,0.019953379953379955,0.0
89,18,16,0.10318838083586027,0.01588628762541806,0.0
90,18,16,0.10307763388710371,0.01677804635290772,0.0
91,18,16,0.1029765561377085,0.020255029231689915,0.0
92,18,17,0.10302458434800046,0.01614093340712046,0.0
93,18,16,0.10294275426231723,0.016654904728299225,0.0
94,18,16,0.10287186538761198,0.017673992673992674,0.0
95,18,16,0.10280634923593136,0.018732322529790884,0.0
96,18,16,0.10274555005860374,0.01703296703296703,0.0
97,18,17,0.10282157341110323,0.01614604834640613,0.0
98,18,16,0.10276185021479856,0.01724941724941725,0.0
99,18,16,0.10270999843120349,0.016253327728737565,0.0
100,18,15,0.10260122051985882,0.017094017094017096,0.0
101,18,15,0.10249918914016375,0.017220172201722016,0.0
102,18,17,0.10260544182971901,0.017642488230723525,0.0
103,18,16,0.10257538084426775,0.014625228519195612,0.0
104,18,17,0.10268326410278969,0.02132156970866648,0.0
105,18,15,0.10258707181155456,0.016253327728737565,0.0
106,18,16,0.10256417116137921,0.018241891200148914,0.0
107,18,16,0.1025412106357086,0.020903010033444816,0.0
108,18,16,0.10252002459062204,0.01596693904386212,0.0
109,18,17,0.10263380256854013,0.01632540121748755,0.0
110,18,17,0.10274009490283058,0.016877637130801686,0.0
111,18,16,0.10270833027802113,0.01656661547768626,0.0
112,18,17,0.10281379000059147,0.019886755972931915,0.0
113,18,18,0.10332487606658776,0.020896067159412356,0.0
114,18,16,0.10326592129750863,0.01944209636517329,0.0
115,18,16,0.10320885956129419,0.02084190319484437,0.0
116,18,16,0.1031520626183232,0.01610126111033552,0.0
117,18,17,0.10323141419616537,0.019079529061380242,0.0
118,18,15,0.10310546814524148,0.020719073735527116,0.0
119,18,17,0.10318720123155602,0.017897714100245744,0.0
120,18,16,0.10312949033207562,0.016253327728737565,0.0
121,18,16,0.10307356530383337,0.018614174694029505,0.0
122,18,16,0.10302173331318215,0.018137457993831423,0.0
123,18,16,0.10297529796099668,0.01994824747118325,0.0
124,18,17,0.10306579592270163,0.018505731252589423,0.0
125,18,16,0.10301782834837694,0.01644370122630992,0.0
126,18,17,0.10310826202410141,0.01700060716454159,0.0
127,18,17,0.10319361997132695,0.018050541516245487,0.0
