it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,16,16,4.86088998906777,0.017237222757955643,0.0
2,16,15,4.375053827964341,0.019730392156862744,0.0
3,17,17,3.9382034154775223,0.019970951343500364,0.0
4,17,16,3.544672031419311,0.020528211284513806,0.0
5,17,16,3.1904937857669196,0.018955607190901308,0.0
6,17,16,2.8717333646797676,0.017659495087675663,0.0
7,17,15,2.5847285867473504,0.016157535975763696,0.0
8,17,17,2.3269106983822443,0.018108651911468814,0.0
9,17,16,2.0945085860335513,0.01532377656945131,0.0
10,17,16,1.885346684919732,0.018858498813538155,0.0
11,17,16,1.6971009739172944,0.017792302106027596,0.0
12,17,16,1.527679834015102,0.018184037100317307,0.0
13,17,16,1.3752008081031295,0.015596217610217365,0.0
14,17,16,1.237969684782354,0.018466430231136113,0.0
15,17,16,1.1144616737936552,0.015710632078918523,0.0
16,17,16,1.0033044639038267,0.017357762777242044,0.0
17,17,16,0.9032629750029825,0.016285853184248907,0.0
18,17,16,0.8132256349922229,0.016666666666666666,0.0
19,17,16,0.7321920289825369,0.017050298380221655,0.0
20,17,16,0.6592617835738198,0.01424536411641901,0.0
21,17,16,0.5936245627059755,0.014982193294854475,0.0
22,17,16,0.5345510639249148,0.017258142926592123,0.0
23,17,16,0.4813849150219616,0.019288367077992093,0.0
24,17,16,0.43353538100930245,0.018907563025210083,0.0
25,17,16,0.3904708003979096,0.017046818727490996,0.0
26,17,16,0.351712677847657,0.01575845061951161,0.0
27,17,16,0.3168303675524277,0.01802460114480575,0.0
28,17,16,0.2854362882867223,0.017451793995606542,0.0
29,17,16,0.25718161694758757,0.017131903677968133,0.0
30,17,16,0.23175241274236613,0.015943954583886942,0.0
31,17,17,0.2092321417777471,0.019123698862260955,0.0
32,17,16,0.18859788508951006,0.017343844754396605,0.0
33,17,16,0.1700270540700961,0.015669692824275588,0.0
34,17,16,0.15331330615262423,0.018428118135220894,0.0
35,17,16,0.13827093302689888,0.015140233308513279,0.0
36,17,17,0.12509881003382686,0.018563162970106076,0.0
37,17,16,0.11287788651998164,0.01685796269727403,0.0
38,17,17,0.10367391644322596,0.018052314871668917,0.0
39,17,16,0.10337173611615748,0.020418084589207585,0.0
40,17,16,0.10312389573386543,0.018842855417320933,0.0
41,17,16,0.10292679184955082,0.01680672268907563,0.0
42,17,16,0.10276901255718683,0.01603182256509161,0.0
43,17,16,0.1026392749747165,0.02074688796680498,0.0
44,17,17,0.10289625907247574,0.019077901430842606,0.0
45,17,17,0.10313301364996515,0.017213622291021673,0.0
46,17,16,0.10298436792243047,0.016305029474476356,0.0
47,17,16,0.10285471786513307,0.017315485693233452,0.0
48,17,17,0.10310793458420535,0.016231388821088603,0.0
49,17,16,0.10297171437885451,0.01937017231134878,0.0
50,17,16,0.10284953265047833,0.019447779111644657,0.0
51,18,18,0.10318586630760407,0.019041843541540326,0.0
52,18,17,0.10308041839516584,0.017934002869440458,0.0
53,18,16,0.10285127989645829,0.01482642237222758,0.0
54,18,16,0.10264248696764695,0.01509844184080203,0.0
55,18,17,0.10259109869471504,0.020818203824739773,0.0
56,18,16,0.10240832416419926,0.015313563441905688,0.0
57,18,16,0.10224379241681703,0.01875532821824382,0.0
58,18,15,0.10202939837377989,0.018032583012063175,0.0
59,18,16,0.10190381095651901,0.018711018711018712,0.0
60,18,16,0.10179676255719285,0.020830867558290923,0.0
61,18,15,0.10163575714797651,0.01600893521965748,0.0
62,18,17,0.10169182669406497,0.017251707200191684,0.0
63,18,16,0.10160114350155593,0.020796197266785502,0.0
64,18,15,0.10145338756850986,0.019486807068506414,0.0
65,18,16,0.10138726643222394,0.017573834513058335,0.0
66,18,16,0.10132241658715999,0.01801470588235294,0.0
67,18,16,0.10126617130442009,0.018367346938775512,0.0
68,18,16,0.10122803532017338,0.015794055465738092,0.0
69,18,16,0.10119808120622062,0.01828966880869995,0.0
70,18,16,0.10117294325210124,0.01701812800591935,0.0
71,18,16,0.10115601069793946,0.01701812800591935,0.0
72,18,16,0.10114506039893965,0.018359705278415267,0.0
73,18,16,0.10113670329589317,0.01553829078801332,0.0
74,18,15,0.10106930069176581,0.020175012153621778,0.0
75,18,16,0.10108046664516565,0.015888417222559126,0.0
76,18,16,0.1010854701631126,0.018998903909389842,0.0
77,18,16,0.10108917225438295,0.017977253271370917,0.0
78,18,15,0.10102574217563681,0.017561095419378607,0.0
79,18,15,0.10096414211706008,0.02019315188762072,0.0
80,18,16,0.10098179143841385,0.015223480696626476,0.0
81,18,15,0.10093143992330554,0.020841040818843262,0.0
82,18,16,0.10095326004601787,0.019688368160405846,0.0
83,18,16,0.10097295453664457,0.017913338174776083,0.0
84,18,16,0.10099078007392819,0.01712583767684289,0.0
85,18,15,0.10094060363279769,0.01678921568627451,0.0
86,18,15,0.10089677747150066,0.022426470588235294,0.0
87,18,16,0.10092885371062782,0.01446480231436837,0.0
88,18,16,0.10095728232558913,0.01859504132231405,0.0
89,18,17,0.10111242023825374,0.021710127349909035,0.0
90,18,16,0.10111687502479756,0.0154670563877725,0.0
91,18,17,0.1012607892773736,0.01893715232571902,0.0
92,18,16,0.10125867361661618,0.015931372549019607,0.0
93,18,16,0.10125176368281764,0.016755062680810028,0.0
94,18,16,0.10124478216559281,0.014705882352941176,0.0
95,18,16,0.10123790964727518,0.020888355342136854,0.0
96,18,15,0.10116037147182277,0.018268176835951774,0.0
97,18,16,0.10115833438015381,0.01880915298909788,0.0
98,18,17,0.10129625592686822,0.017635223103325836,0.0
99,18,16,0.1012886233780361,0.017286407163288147,0.0
