it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,16,16,4.860889989067769,0.018010332243234277,0.0
2,16,16,4.375378905140069,0.01848001848001848,0.0
3,16,16,3.9384189296051377,0.018375287113861154,0.0
4,18,18,3.5453138782429474,0.015890213073311666,0.0
5,18,16,3.190975128745012,0.017312371326969868,0.0
6,18,16,2.8720702541968723,0.017873853640276997,0.0
7,18,16,2.5850558671035393,0.017522132012293013,0.0
8,18,18,2.327287121991515,0.0170323058409701,0.0
9,18,16,2.0947510481187157,0.017063105670700608,0.0
10,18,16,1.8854685816332026,0.02099157574920591,0.0
11,18,16,1.6971143617962385,0.016533557517164076,0.0
12,18,17,1.5277304107714236,0.01816043283933192,0.0
13,18,16,1.3751500080206385,0.016937191249117856,0.0
14,18,17,1.237962492373384,0.013908600624467783,0.0
15,18,17,1.1144937282908542,0.016724416724416723,0.0
16,18,16,1.0032369937881271,0.015664335664335664,0.0
17,18,16,0.9031059327356733,0.019597069597069597,0.0
18,18,16,0.8129879777884649,0.01672836966954614,0.0
19,18,16,0.7318818183359762,0.018315018315018316,0.0
20,18,16,0.6588862748287371,0.016569471443117652,0.0
21,18,16,0.5931902856722214,0.01938367442954599,0.0
22,18,16,0.5340638954313566,0.018830842360254126,0.0
23,18,15,0.48078392478989473,0.018334962073619062,0.0
24,18,16,0.43289817063726344,0.01586423169156982,0.0
25,18,16,0.3898009918998948,0.016815310293571164,0.0
26,18,16,0.3510135310362642,0.016629505759940544,0.0
27,18,16,0.31610481625899567,0.018784634169249553,0.0
28,18,16,0.28468697295945383,0.01885503484082525,0.0
29,18,16,0.25641091398986715,0.01572897761645493,0.0
30,18,17,0.23109730774568918,0.019058141140726417,0.0
31,18,16,0.20818021529747827,0.01611721611721612,0.0
32,18,16,0.187554832094089,0.017216774846936428,0.0
33,18,17,0.16912683403948914,0.016666666666666666,0.0
34,18,15,0.15234056953721267,0.01752444198487364,0.0
35,18,16,0.13729915090984962,0.016813787305590584,0.0
36,18,16,0.12376187414522272,0.018328242154956955,0.0
37,18,16,0.11157832505705882,0.01535669412257434,0.0
38,18,17,0.10217643904363836,0.016237787257465254,0.0
39,18,16,0.10192630636908534,0.01539388881161033,0.0
40,18,16,0.10172914507276472,0.018223443223443225,0.0
41,18,16,0.10158334447894621,0.01693889897156685,0.0
42,18,15,0.10141873085084825,0.01669433683822173,0.0
43,18,16,0.10135619782763777,0.016248708556400863,0.0
44,18,17,0.10143831089585553,0.019451812555260833,0.0
45,18,16,0.10138301995496704,0.019716574245224893,0.0
46,18,16,0.10133837467381461,0.017616675890057186,0.0
47,18,17,0.10143314068348784,0.019042232277526393,0.0
48,18,16,0.10138929293794813,0.01781757337312893,0.0
49,18,16,0.10134916538467859,0.018868805754051657,0.0
