it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,28,28,4.8647722791798165,0.08467917939764295,0.0
2,30,30,4.381860804416404,0.07980625072079345,0.0
3,30,30,3.9472482649842298,0.08375973303670746,0.0
4,30,29,3.5541910909568877,0.08164883075703527,0.0
5,30,28,3.1998070764984234,0.09064360327979333,0.0
6,30,29,2.8814940213196674,0.09760283155467367,0.0
7,30,30,2.59691816019716,0.10075431034482758,0.0
8,30,29,2.3388939966485287,0.10270784852972287,0.0
9,30,27,2.1057254664631704,0.08430381185025279,0.0
10,30,28,1.8961880144540768,0.08114259701832252,0.0
11,31,31,1.7103892051222356,0.10234272176888655,0.0
12,31,31,1.5431702767235769,0.09875093413045799,0.0
13,34,34,1.3934618846979046,0.0955837870538415,0.0
14,34,31,1.2550706942565073,0.10773184836153352,0.0
15,36,36,1.1347390980169758,0.09747272627597171,0.0
16,36,26,1.0215079052117406,0.09311984261435051,0.0
17,36,31,0.9199937800428284,0.11476704395893657,0.0
18,36,34,0.8295306139207743,0.10571896287690764,0.0
19,36,29,0.7469944656464685,0.09859998910497358,0.0
20,36,34,0.6738312309640508,0.10442728162732513,0.0
21,36,32,0.6072630395185392,0.12112777691871553,0.0
22,36,30,0.5470472414251802,0.10806061937184275,0.0
23,36,33,0.49342690214070645,0.11151193633952254,0.0
24,36,30,0.4445947177851305,0.12006647278770254,0.0
25,36,31,0.4007719113588781,0.11624376490999783,0.0
26,36,31,0.3613313855752511,0.12089249492900608,0.0
27,36,34,0.32673445889995534,0.14501721642796547,0.0
28,36,32,0.29487594466085376,0.13036771657461313,0.0
29,40,40,0.27179607890139273,0.1704619388418998,0.0
30,41,41,0.25135280119001274,0.2186315219353674,0.0
31,41,41,0.2329538512497706,0.22589998661729938,0.0
32,41,41,0.21639479630355263,0.23247909119370275,0.0
33,41,41,0.20149164685195664,0.21529559983201904,0.0
34,41,41,0.18807881234552049,0.23232415622427513,0.0
35,42,42,0.17631240558550332,0.20670863478342572,0.0
36,42,41,0.16204933011633232,0.32612507305669197,0.0
37,42,42,0.15260980510737734,0.26682579600187545,0.0
38,42,42,0.14393625081575354,0.26398721169216716,0.0
39,42,42,0.14372037659220813,0.3363811554389274,0.0
40,42,42,0.14364960288948647,0.24822287959733322,0.0
41,42,42,0.14368936691085246,0.26150526269432334,0.0
42,42,42,0.14370223150198605,0.23911131682480907,0.0
43,42,42,0.14364180383249153,0.27365728900255754,0.0
44,42,42,0.1438445252597318,0.28510932503672975,0.0
45,42,42,0.14393255989753262,0.19128352490421455,0.0
46,42,42,0.14376515326406378,0.23558693094397684,0.0
47,42,42,0.14363449087609792,0.33771342484097755,0.0
48,42,42,0.14352825619980275,0.19363033353718775,0.0
49,42,42,0.1433518807102826,0.21982758620689655,0.0
50,42,42,0.14315816793330308,0.24004621400639886,0.0
51,42,38,0.13989446790085827,0.20726290241333517,0.0
52,42,42,0.14273737787808352,0.24266963292547275,0.0
53,42,42,0.14323036401858516,0.20651287708023597,0.0
54,42,39,0.14030666298726388,0.22774659182036888,0.0
55,42,42,0.14278312656413594,0.2738813360943549,0.0
56,42,42,0.14295693121208108,0.24431689790753378,0.0
57,42,42,0.14284379710911227,0.271264367816092,0.0
58,42,42,0.14268291389699872,0.2500907441016334,0.0
59,42,42,0.1425382423811159,0.24092558983666063,0.0
60,42,42,0.1424080380168213,0.2194951238859596,0.0
61,42,42,0.14242558069253142,0.25964537111289315,0.0
62,42,42,0.14245658564645927,0.26828731228255603,0.0
63,42,42,0.14240405777068385,0.2379822234631672,0.0
64,42,42,0.1423173110409968,0.22982440178327723,0.0
65,42,42,0.1425054340378434,0.27424635401165015,0.0
66,42,42,0.14266879889401063,0.25513668036448095,0.0
67,42,42,0.14264057855287982,0.20941286113699906,0.0
68,42,42,0.14253636576012568,0.24801770237875714,0.0
69,42,42,0.142442577370233,0.208017942248388,0.0
70,42,42,0.14235816781932953,0.2016586643387167,0.0
71,42,42,0.14228221004516517,0.28696094213335593,0.0
72,42,42,0.14221398390135137,0.22342153023211386,0.0
73,42,42,0.14215326568239292,0.22149990578481252,0.0
74,42,37,0.13876699578970436,0.17899142914092087,0.0
75,42,39,0.13632504717979263,0.2229761130216563,0.0
76,42,42,0.13967869190976298,0.27028909787530475,0.0
77,42,42,0.14195603663834508,0.32333403850222125,0.0
78,42,42,0.14223809826105108,0.27629690829238596,0.0
79,42,42,0.14228419479995646,0.2917963400970995,0.0
80,42,42,0.14221860111846243,0.2124285450857459,0.0
81,42,42,0.14215363177948687,0.32038834951456313,0.0
82,42,42,0.14209515937440884,0.3308095011465409,0.0
83,42,42,0.1420425342098387,0.19576395112977027,0.0
84,42,42,0.14199736271856955,0.23567024434802467,0.0
85,42,42,0.14195763893356855,0.2745896424481486,0.0
86,42,42,0.14192188752706764,0.23899653823674863,0.0
87,42,42,0.141889749039287,0.2873416044858493,0.0
88,42,37,0.13853008512931872,0.23747813999372225,0.0
89,42,42,0.14161590745234903,0.268983155481083,0.0
90,42,42,0.14204057459354952,0.23237194067873715,0.0
91,42,42,0.14198470202712066,0.23311781609195403,0.0
92,42,42,0.14193704347004474,0.20281114731773747,0.0
93,42,42,0.14189415076867645,0.19618346166722464,0.0
94,42,36,0.13835101263712946,0.21268256264290047,0.0
95,42,42,0.1414922849275701,0.19625724327918687,0.0
96,42,42,0.14209221615390577,0.23516412688181942,0.0
97,42,42,0.14229290844492945,0.24901289813108712,0.0
98,42,42,0.14232100663963562,0.32471264367816094,0.0
99,42,42,0.14224965781584037,0.19747030250565095,0.0
