it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,29,29,4.863597364616199,0.0849438994301827,0.0
2,29,25,4.377648379994745,0.09315407549080272,0.0
3,29,27,3.9406044114747663,0.08606440581362211,0.0
4,29,27,3.5472648398067834,0.08794260587826892,0.0
5,29,28,3.1935734504633295,0.08680338578651366,0.0
6,29,28,2.8752512000542207,0.08873341107224166,0.0
7,29,26,2.588260057441016,0.08672241952113645,0.0
8,31,31,2.3332540438104803,0.10217113665389528,0.0
9,31,26,2.1003736205896146,0.07670422214635257,0.0
10,31,28,1.89111257950857,0.08889134886810207,0.0
11,31,29,1.7031130898717701,0.09536885462322438,0.0
12,31,29,1.5339135491986489,0.09046720420884086,0.0
13,31,31,1.3843421863923466,0.1152504105090312,0.0
14,31,27,1.2464846633367095,0.08847771236333053,0.0
15,31,29,1.1229479653170926,0.08786472148541113,0.0
16,31,28,1.011429489763302,0.09076751946607342,0.0
17,31,31,0.9141065329005372,0.08809788654060066,0.0
18,31,28,0.8234722005884012,0.08339487587343067,0.0
19,31,28,0.741901301507479,0.11058967557641297,0.0
20,31,28,0.6684874923346488,0.10021551724137931,0.0
21,32,32,0.6057134013556528,0.08125640150221919,0.0
22,32,30,0.5463332415565763,0.09685678487770333,0.0
23,33,33,0.49603745683309464,0.11269214790195264,0.0
24,33,30,0.44732709640215074,0.09069741656502939,0.0
25,33,28,0.4031119340805482,0.10510558674151296,0.0
26,33,33,0.3671382801046701,0.08737864077669903,0.0
27,33,29,0.33109151308263624,0.11086045762165646,0.0
28,33,33,0.3023199012065494,0.11045175086875167,0.0
29,33,27,0.2724998365027486,0.09267241379310345,0.0
30,33,31,0.24652318355699535,0.11374557744098854,0.0
31,33,31,0.22314419590581785,0.1262995367987648,0.0
32,33,31,0.20210310701975726,0.10539401145822073,0.0
33,37,37,0.18736401082882242,0.13438655121778317,0.0
34,37,34,0.16977976865761235,0.13006654567453116,0.0
35,37,34,0.15395395070352294,0.11136576726742368,0.0
36,37,31,0.1391042687922512,0.12699872286079184,0.0
37,37,30,0.12564053453920915,0.15437887750685328,0.0
38,37,35,0.11605871783074578,0.13742017879948915,0.0
39,37,31,0.11429861629437807,0.14962177031142548,0.0
40,37,31,0.11282021503978003,0.12368106167736322,0.0
41,37,30,0.11145000737979774,0.09221483261610686,0.0
42,37,32,0.11049712691933689,0.1253648641963093,0.0
43,37,28,0.1093038127057774,0.11626811783789441,0.0
44,37,31,0.1084838387003093,0.12137509227037857,0.0
45,37,30,0.10764591651679518,0.13044156654704323,0.0
46,37,37,0.11193394624948673,0.12239826032929481,0.0
47,37,34,0.11146983876436722,0.13013317129981264,0.0
48,37,34,0.11108225034318561,0.15778919051112741,0.0
49,37,33,0.11048444479679363,0.1341871921182266,0.0
